prop_type,purpose,covered_area,price,location,beds,baths,amenities
Factory,For Sale,1,160000000,"Korangi, Karachi, Sindh",0,0,"Built in year: 2025
Parking Spaces
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,Lawn or Garden
Other Healthcare and Recreation Facilities,,"
Shop,For Sale,26,20000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",0,0,"Built in year: 2025
Flooring
Floor: 1
Floors in Building: 2
Service Elevators in Building,Rooms: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
ATM Machines,,,"
Shop,For Sale,23,47500000,"Gulshan-e-Iqbal Town, Karachi, Sindh",0,0,"Built in year: 2025
Parking Spaces: 4
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 2
Service Elevators in Building,Rooms: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready,,,"
Shop,For Sale,22,34000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",0,0,"Built in year: 2025
Parking Spaces: 1
Flooring
Floors in Building: 1
Service Elevators in Building,Rooms: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
ATM Machines,,,"
Shop,For Sale,18,27000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",0,0,"Built in year: 2025
Parking Spaces: 1
Central Air Conditioning
Central Heating
Flooring
Floors in Building: 2
Service Elevators in Building,Rooms: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready,,,"
Shop,For Sale,22,9000000,"Gadap Town, Karachi, Sindh",0,0,"Built in year: 10
Parking Spaces
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 1
Floors in Building: 6
Elevators: 2
Service Elevators in Building
Other Main Features,Other Rooms,,,,"
Building,For Sale,233,135000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",0,0,"Parking Spaces: 1
Lobby in Building
Flooring
Electricity Backup
Elevators: 2
Service Elevators in Building,Broadband Internet Access
Satellite or Cable TV Ready
Conference Room in Building
Intercom
ATM Machines,Community Lawn or Garden
Community Swimming Pool,,"
Shop,For Sale,35,25000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",0,0,"Flooring,Broadband Internet Access
Satellite or Cable TV Ready
ATM Machines,Community Lawn or Garden
Community Swimming Pool
Community Gym
First Aid or Medical Centre
Day Care Centre
Kids Play Area,"
Other,For Sale,232,45000000,"Malir, Karachi, Sindh",0,0,
Office,For Sale,67,13200000,"Naya Nazimabad, Karachi, Sindh",0,0,"Built in year: 2025
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 1
Floors in Building: 4
Elevators: 6
Service Elevators in Building
Other Main Features,,,,,,"
Office,For Sale,108,32100000,"Clifton, Karachi, Sindh",0,2,"Built in year: 2024
Parking Spaces: 1
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 6
Floors in Building: 20
Elevators: 2
Other Main Features,,,,,"
Office,For Sale,82,17500000,"DHA Defence, Karachi, Sindh",1,1,"Built in year: 2023
Parking Spaces: 1
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 3
Floors in Building: 5
Elevators: 1
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
Office,For Sale,113,27000000,"DHA Defence, Karachi, Sindh",0,0,"Built in year: 2025
Parking Spaces: 4
Lobby in Building
Double Glazed Windows
Flooring
Electricity Backup
Floor: 4
Floors in Building: 4
Elevators: 1
Service Elevators in Building
Other Main Features,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Maintenance Staff
Security Staff
Other Facilities"
Shop,For Sale,60,35000000,"Gulistan-e-Jauhar, Karachi, Sindh",0,0,"Built in year: 2025
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Floor: 1234
Floors in Building: 4
Elevators: 1
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,Community Lawn or Garden
Community Swimming Pool,,"
Shop,For Sale,89,25000000,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,"Built in year: 2025
Parking Spaces: 4
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,,,"
Office,For Sale,130,20000000,"DHA Defence, Karachi, Sindh",0,0,"Built in year: 2014
Parking Spaces: 1
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 3
Floors in Building: 3
Elevators
Other Main Features,Other Rooms,,,,"
Shop,For Sale,167,160000000,"Shahra-e-Faisal, Karachi, Sindh",0,0,"Built in year: 2020
Parking Spaces
Flooring
Floor,Broadband Internet Access,Community Gym
Mosque
Community Centre,,"
Office,For Sale,92,34000000,"Shaheed Millat Road, Karachi, Sindh",0,1,"Parking Spaces
Lobby in Building
Double Glazed Windows
Flooring
Electricity Backup
Waste Disposal
Floor
Elevators
Other Main Features,Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Business Center or Media Room in Building,,,"
Office,For Sale,51,5500000,"Tariq Road, Karachi, Sindh",0,1,"Built in year: 1995
Parking Spaces: 2
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 5
Floors in Building
Elevators
Service Elevators in Building
Other Main Features
Furnished,,,,,"
Office,For Sale,156,32500000,"Khayaban-e-Ittehad Road, Karachi, Sindh",0,1,"Built in year: 2023
Parking Spaces
Lobby in Building
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 3
Elevators: 2
Other Main Features,Servant Quarters: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Business Center or Media Room in Building,,,,"
Office,For Sale,44,7000000,"Scheme 33, Karachi, Sindh",1,1,"Built in year: 2025
Parking Spaces
Lobby in Building
Flooring
Electricity Backup
Waste Disposal
Floor: 1
Floors in Building: 3
Service Elevators in Building
Other Main Features
Furnished,Rooms: 1
Servant Quarters: 1
Other Rooms,,,,"
Office,For Sale,69,13500000,"Gulistan-e-Jauhar, Karachi, Sindh",1,1,"Built in year: 2024
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building: 4
Elevators
Other Main Features
Furnished,,,,,,"
Shop,For Sale,51,13000000,"Gulistan-e-Jauhar, Karachi, Sindh",1,1,"Built in year: 2024
Parking Spaces
Flooring
Floor
Floors in Building: 6
Other Main Features,Rooms: 1
Other Rooms,Satellite or Cable TV Ready
ATM Machines,,"
Shop,For Sale,30,16200000,"Gulistan-e-Jauhar, Karachi, Sindh",1,1,"Built in year: 2025
Parking Spaces
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building: 2
Elevators: 1
Service Elevators in Building
Other Main Features,Rooms: 3
Other Rooms,,,,"
Shop,For Sale,257,85000000,"Gulistan-e-Jauhar, Karachi, Sindh",3,2,"Built in year: 2019
Parking Spaces
Central Air Conditioning
Flooring
Waste Disposal
Floor
Floors in Building: 4
Service Elevators in Building
Other Main Features,Rooms: 2
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready,,,"
Shop,For Sale,125,25000000,"Saddar Town, Karachi, Sindh",0,0,"Built in year: 2015
Parking Spaces: 4
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,,,"
Office,For Sale,96,18000000,"I. I. Chundrigar Road, Karachi, Sindh",0,1,"Built in year: 2030
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 23
Floors in Building: 26
Elevators
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
Office,For Sale,166,64200000,"Shahra-e-Faisal, Karachi, Sindh",0,0,"Built in year: 2022
Parking Spaces: 1
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 6
Floors in Building: 14
Elevators: 5
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
Office,For Sale,389,139100000,"Shahra-e-Faisal, Karachi, Sindh",0,0,"Built in year: 2022
Parking Spaces: 2
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 5
Floors in Building: 14
Elevators: 6
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
Office,For Sale,233,41000000,"DHA Defence, Karachi, Sindh",0,0,"Built in year: 2022
Parking Spaces: 20
Lobby in Building
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 3
Elevators: 2
Service Elevators in Building
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Business Center or Media Room in Building,,,"
Shop,For Sale,87,55000000,"Gulistan-e-Jauhar, Karachi, Sindh",0,0,"Built in year: 2024
Parking Spaces: 3
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,,,"
Building,For Sale,51,20000000,"North Karachi, Karachi, Sindh",0,0,"Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Nearby Public Transport Service"
Shop,For Sale,48,15500000,"Scheme 33, Karachi, Sindh",0,0,"Built in year: 2024
Parking Spaces: 2
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 4
Floors in Building: 12
Service Elevators in Building
Other Main Features,Other Rooms,,,,"
Office,For Sale,78,16500000,"DHA Defence, Karachi, Sindh",0,0,"Built in year: 2000
Parking Spaces: 7
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Floor: 1
Floors in Building: 4
Elevators: 2
Service Elevators in Building
Furnished,,,,"
Office,For Sale,89,13000000,"I. I. Chundrigar Road, Karachi, Sindh",5,1,"Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Waste Disposal
Service Elevators in Building
Furnished,Broadband Internet Access
Satellite or Cable TV Ready
Intercom,Community Lawn or Garden
Community Swimming Pool,,,"
Building,For Sale,400,1,"DHA Defence, Karachi, Sindh",0,0,"Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff
Other Facilities"
Building,For Sale,200,380000000,"DHA Defence, Karachi, Sindh",0,6,"Built in year
Parking Spaces: 3
Public Parking
Underground Parking
Lobby in Building
Central Air Conditioning
Central Heating
Flooring
Waste Disposal
Floors in Building: 4
Elevator or Lift
Elevators: 1
Service Elevators in Building
Other Main Features,,,"
Shop,For Sale,47,20000000,"Clifton, Karachi, Sindh",1,1,"Built in year: 21016
Parking Spaces: 2
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 1
Floors in Building: 8
Elevators: 2
Service Elevators in Building
Other Main Features,Other Rooms,,,,"
Shop,For Sale,43,15000000,"Scheme 33, Karachi, Sindh",0,0,"Parking Spaces
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Service Elevators in Building,Broadband Internet Access
Satellite or Cable TV Ready
ATM Machines,Community Lawn or Garden
Community Swimming Pool,,"
Shop,For Sale,55,14900000,"Scheme 33, Karachi, Sindh",0,0,"Built in year: 2025
Parking Spaces: 2
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Service Elevators in Building,Broadband Internet Access
Satellite or Cable TV Ready
ATM Machines,Community Lawn or Garden
Community Swimming Pool,,"
Shop,For Sale,48,15500000,"Scheme 33, Karachi, Sindh",0,0,"Built in year: 2024
Parking Spaces: 2
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 2
Floors in Building: 8
Elevators: 2
Service Elevators in Building
Other Main Features,Other Rooms,,,,"
Office,For Sale,138,27200000,"DHA Defence, Karachi, Sindh",0,0,"Built in year: 2024
Parking Spaces: 1
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 1
Floors in Building: 5
Elevators: 2
Service Elevators in Building
Other Main Features,,,,,,"
Office,For Sale,55,3500000,"Bahria Town Karachi, Karachi, Sindh",0,1,"Built in year: 2024
Parking Spaces
Lobby in Building
Flooring
Electricity Backup
Floor: 8
Floors in Building: 8
Elevators
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Business Center or Media Room in Building
Conference Room in Building
Intercom
ATM Machines,,,,"
Shop,For Sale,37,14000000,"DHA Defence, Karachi, Sindh",0,0,"Built in year: 2023
Parking Spaces: 2
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
ATM Machines
Other Business and Communication Facilities,,,"
Shop,For Sale,54,27500000,"Gulistan-e-Jauhar, Karachi, Sindh",0,0,"Built in year: 2023
Parking Spaces
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,,,"
Office,For Sale,117,26500000,"DHA Defence, Karachi, Sindh",0,1,"Built in year: 2024
Parking Spaces: 4
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 1
Floors in Building: 4
Elevators: 1
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
Shop,For Sale,100,72000000,"DHA Defence, Karachi, Sindh",0,1,"Built in year: 2024
Parking Spaces
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building: 4
Elevators: 1
Service Elevators in Building
Other Main Features,Other Rooms,,,,"
Office,For Sale,333,45000000,"Clifton, Karachi, Sindh",0,2,"Parking Spaces
Flooring
Waste Disposal
Floor
Floors in Building: 8
Elevators: 2,Rooms: 1,Broadband Internet Access
Satellite or Cable TV Ready,,,"
Shop,For Sale,9,15000000,"North Nazimabad, Karachi, Sindh",0,0,"Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff
Other Facilities"
Shop,For Sale,37,35000000,"Gulberg Town, Karachi, Sindh",0,0,"Built in year: 2015
Parking Spaces: 1
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,Community Lawn or Garden
First Aid or Medical Centre,,"
Office,For Sale,133,50500000,"Clifton, Karachi, Sindh",0,1,"Built in year: 2024
Parking Spaces: 1
Lobby in Building
Double Glazed Windows
Flooring
Electricity Backup
Waste Disposal
Floor: 8
Floors in Building: 20
Elevators
Service Elevators in Building
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Intercom,,,"
Office,For Sale,278,87500000,"Shahra-e-Faisal, Karachi, Sindh",0,0,"Built in year
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building
Elevators
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
Office,For Sale,117,27500000,"DHA Defence, Karachi, Sindh",0,0,"Built in year: 2010
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 2
Floors in Building: 4
Service Elevators in Building
Other Main Features,Other Rooms,,,,,"
Building,For Sale,100,110000000,"DHA Defence, Karachi, Sindh",8,7,"Built in year: 4
Parking Spaces: 2
Lobby in Building
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 6
Service Elevators in Building
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Business Center or Media Room in Building,,,"
Office,For Sale,256,60000000,"DHA Defence, Karachi, Sindh",0,2,"Built in year: 2024
Parking Spaces
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Servant Quarters
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready,,,,"
Shop,For Sale,29,7000000,"Gadap Town, Karachi, Sindh",0,0,"First Aid or Medical Centre
Day Care Centre
Kids Play Area
Barbeque Area
Mosque,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Nearby Public Transport Service,Maintenance Staff
Security Staff"
Building,For Sale,200,600000000,"DHA Defence, Karachi, Sindh",0,0,"Built in year
Parking Spaces
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Intercom
Other Business and Communication Facilities,,,"
Shop,For Sale,14,4000000,"Gadap Town, Karachi, Sindh",0,0,"Built in year: 2023
Parking Spaces: 4
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 5
Floors in Building: 11
Elevators: 4
Service Elevators in Building
Other Main Features,Other Rooms,,,,"
Factory,For Sale,4,675000000,"Federal B Area, Karachi, Sindh",0,0,"Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Nearby Public Transport Service
Other Nearby Places"
Shop,For Sale,38,17100000,"Scheme 33, Karachi, Sindh",0,1,"Built in year: 2025
Parking Spaces
Central Air Conditioning
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 14
Elevators
Service Elevators in Building,Broadband Internet Access
Satellite or Cable TV Ready,Community Lawn or Garden
First Aid or Medical Centre,"
Shop,For Sale,56,35000000,"DHA Defence, Karachi, Sindh",0,7,"Built in year: 2025
Parking Spaces: 4
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building: 5
Elevators: 2
Service Elevators in Building
Other Main Features,Rooms
Other Rooms,,,,"
Building,For Sale,100,150000000,"DHA Defence, Karachi, Sindh",0,6,"Built in year: 2024
Parking Spaces: 4
Public Parking
Underground Parking
Lobby in Building
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 4
Elevator or Lift
Elevators: 1
Service Elevators in Building
Other Main Features,,,,"
Office,For Sale,144,41600000,"Shahra-e-Faisal, Karachi, Sindh",0,2,"Built in year: 2024
Parking Spaces: 1
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Elevators: 1
Service Elevators in Building
Other Main Features,Servant Quarters: 1
Other Rooms,,,,,"
Office,For Sale,136,30000000,"Clifton, Karachi, Sindh",0,0,"Built in year: 2010
Parking Spaces
Lobby in Building
Flooring
Electricity Backup
Floor
Floors in Building: 6
Elevators: 3
Other Main Features,Servant Quarters: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready,,,"
Office,For Sale,217,38500000,"Baloch Colony, Karachi, Sindh",0,0,"Built in year: 2025
Parking Spaces
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features
Furnished,Servant Quarters: 2
Other Rooms,,,,,"
Office,For Sale,378,139400000,"Shahra-e-Faisal, Karachi, Sindh",0,0,"Built in year: 2024
Parking Spaces: 4
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features
Furnished,Servant Quarters: 2
Other Rooms,,,,,"
Building,For Sale,100,170000000,"DHA Defence, Karachi, Sindh",0,0,"Built in year: 2022
Parking Spaces: 4
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Intercom
Other Business and Communication Facilities,,,"
Shop,For Sale,278,65000000,"Gadap Town, Karachi, Sindh",0,7,"Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Nearby Public Transport Service
Other Nearby Places,Other Facilities"
Building,For Sale,200,120000000,"Gulshan-e-Iqbal Town, Karachi, Sindh",7,7,"Built in year: 2015
Parking Spaces: 1
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Intercom
Other Business and Communication Facilities,,,"
Shop,For Sale,50,7400000,"DHA Defence, Karachi, Sindh",0,0,"Parking Spaces
Central Air Conditioning
Flooring
Electricity Backup
Elevators
Service Elevators in Building
Other Main Features"
Shop,For Sale,6,1150000,"Malir, Karachi, Sindh",0,0,"Built in year
Central Air Conditioning
Flooring
Electricity Backup
Other Main Features,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport (kms)
Nearby Public Transport Service
Other Nearby Places,Security Staff
Other Facilities"
Shop,For Sale,28,29000000,"Saddar Town, Karachi, Sindh",0,0,"Built in year: 2010
Parking Spaces: 30
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 10
Elevators: 3
Service Elevators in Building
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
ATM Machines,,,"
Building,For Sale,1,170000000,"Gulistan-e-Jauhar, Karachi, Sindh",0,0,"Built in year: 2022
Parking Spaces: 9
Public Parking
Lobby in Building
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 3
Elevator or Lift
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Business Center or Media Room in Building,,,"
Shop,For Sale,240,32500000,"Defence View Society, Karachi, Sindh",0,0,"Built in year: 2024
Parking Spaces: 1
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 5
Floors in Building: 9
Elevators: 4
Service Elevators in Building
Other Main Features,Other Rooms,,,,"
Shop,For Sale,9,1800000,"Gadap Town, Karachi, Sindh",1,0,"Built in year
Parking Spaces
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Rooms: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,,,"
Shop,For Sale,36,2500000,"DHA City Karachi, Karachi, Sindh",0,0,"Built in year: 2023
Parking Spaces: 1
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 4
Floors in Building: 6
Elevators: 1
Service Elevators in Building
Other Main Features,Other Rooms,,,,"
Office,For Sale,119,29400000,"DHA Defence, Karachi, Sindh",1,1,"Built in year: 2030
Parking Spaces: 10
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 12
Floors in Building: 35
Elevators: 7
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
Building,For Sale,200,320000000,"DHA Defence, Karachi, Sindh",0,0,"Built in year: 1
Parking Spaces: 4
Public Parking
Underground Parking
Lobby in Building
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 4
Elevator or Lift
Elevators: 2
Service Elevators in Building
Other Main Features,,,,"
Shop,For Sale,200,125000000,"Jamshed Road, Karachi, Sindh",0,0,"Built in year: 2022
Parking Spaces: 1
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 1
Floors in Building: 1
Elevators: 1
Service Elevators in Building
Other Main Features,Rooms: 1
Other Rooms,,,,"
Shop,For Sale,89,70000000,"DHA Defence, Karachi, Sindh",0,0,"Built in year: 2024
Parking Spaces
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready,,,"
Building,For Sale,400,750000000,"DHA Defence, Karachi, Sindh",0,7,"Parking Spaces
Public Parking
Underground Parking
Lobby in Building
Floors in Building: 5
Elevator or Lift
Elevators
Service Elevators in Building,ATM Machines,,"
Shop,For Sale,12,5917000,"New Karachi, Karachi, Sindh",0,0,"Built in year: 2024
Parking Spaces
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,,,"
Office,For Sale,143,34800000,"DHA Defence, Karachi, Sindh",0,0,
Office,For Sale,81,24100000,"Shaheed Millat Road, Karachi, Sindh",0,0,"Built in year: 2024
Parking Spaces: 1
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Service Elevators in Building
Other Main Features
Furnished,Servant Quarters
Other Rooms,,,,,"
Factory,For Sale,400,150000000,"North Karachi, Karachi, Sindh",0,0,"Built in year: 2025
Electricity Backup
Waste Disposal
Floors: 2
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,Lawn or Garden
Other Healthcare and Recreation Facilities,,"
Building,For Sale,200,520000000,"DHA Defence, Karachi, Sindh",0,0,"Built in year: 2024
Parking Spaces
Public Parking
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 4
Elevator or Lift
Elevators: 1
Other Main Features,Broadband Internet Access
Satellite or Cable TV Ready
Business Center or Media Room in Building,,,"
Building,For Sale,100,75000000,"DHA Defence, Karachi, Sindh",4,4,"Built in year: 2015
Parking Spaces: 2
Public Parking
Lobby in Building
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floors in Building: 4
Elevators
Service Elevators in Building
Other Main Features,,,,"
Building,For Sale,300,500000000,"Rashid Minhas Road, Karachi, Sindh",0,7,"Public Parking
Lobby in Building
Electricity Backup
Floors in Building: 5
Elevators: 1
Service Elevators in Building,Broadband Internet Access
Satellite or Cable TV Ready
Intercom
ATM Machines,Community Lawn or Garden
Community Swimming Pool,,"
Office,For Sale,43,8106000,"Naya Nazimabad, Karachi, Sindh",0,0,"Built in year: 2025
Parking Spaces
Lobby in Building
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor: 2
Floors in Building: 4
Elevators: 3
Service Elevators in Building
Other Main Features
Furnished,,,,,,"
Shop,For Sale,17,6500000,"North Nazimabad, Karachi, Sindh",0,0,"Built in year: 2023
Parking Spaces: 10
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,,,"
Shop,For Sale,67,15000000,"North Karachi, Karachi, Sindh",0,0,"Flooring
Electricity Backup
Floor,Broadband Internet Access
Satellite or Cable TV Ready,Nearby Schools
Nearby Hospitals
Nearby Shopping Malls
Nearby Restaurants
Nearby Public Transport Service,"
Shop,For Sale,22,5000000,"M. A. Jinnah Road, Karachi, Sindh",0,0,"Built in year: 2025
Parking Spaces
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Floor
Floors in Building
Elevators: 3
Service Elevators in Building
Other Main Features,Rooms: 1
Other Rooms,,,,"
Shop,For Sale,17,2600000,"Gadap Town, Karachi, Sindh",1,0,"Built in year
Parking Spaces
Central Air Conditioning
Central Heating
Flooring
Electricity Backup
Waste Disposal
Other Main Features,Rooms: 1
Other Rooms,Broadband Internet Access
Satellite or Cable TV Ready
Other Business and Communication Facilities,,,"
Building,For Sale,667,60000000,"Scheme 33, Karachi, Sindh",0,0,"Parking Spaces: 500
Public Parking
Underground Parking
Lobby in Building
Central Air Conditioning
Central Heating
Waste Disposal
Service Elevators in Building,Broadband Internet Access
Satellite or Cable TV Ready
Business Center or Media Room in Building
Conference Room in Building
Intercom
ATM Machines,,"
